"estabelecimento","total gasto"
"CASTRO HOTÉIS E TURISMO LTDA","27343,45"
"HOT. ACCOR BRASIL S. A.","26971,47"
"CIA TRANSAMÉRICA DE HOTÉIS - SÃO PAULO","26393,66"
"PIRES HOTÉIS E TURISMO LTDA","26367,23"
"KINO EMREENDIMENTO HOTELEIRO LTDA","26183,94"
"CROWNE PLAZA - BELEM","25252,7"
"SALGUEIRO PLAZA HOTEL LTDA - ME",25247
"MACEIO ATLANTIC ADMINISTRADORA HOTELEIRA E COMERCIAL LTDA",25026
"CRER2007- GOLDEN TULIP CONTINENTAL","24727,5"
"RAMOS & SANTOS LTDA - ME",24669
"CTH HOTEIS S/A","24622,45"
"EXCELSIOR COPACABANA HOTEL LTDA","24081,54"
"PARK TOWER HOTEL E CONVEÇÕES LTDA","24046,05"
"GIRO'S TOUR VIAGENS E TURISMO LTDA","23833,84"
"TREVI HOTEL CURITIBA LTDA","23742,4"
"DIPLOMATA CIA DE EMPREENDIMENTOS TURISTICOS","23674,2"
"4M ADM. E PARTICIPAÇÕES LTDA","23163,8"
"HOTEL CHAMONIX RECREIO LTDA - EPP",22778
"HOTELARIA ACCOR BRASIL S.A.","22689,9"
"TAMOYO EMPREENDIMENTOS HOTELEIROS LTDA - SANDRI P.HOTEL",22154
"LUXOR HOTÉIS TURISMO S.A","21745,5"
"HOTEL FEIRA PALACE EVENTOS E TURISMO LTDA",20431
"AMARAL & NICOLAU-HOTELARIA E CONSULTORIA E ADM",20055
"RIVER PARK CONVENÇÕES E HOTELARIA LTDA.",19910
"SERRANO HOTEIS S/A",19690
"LUXOR HOTÉIS TURISMO SA",19614
"RCG -SCP MANHATTAN FLAT SERVICE","19596,5"
"AQUARIUS SERVIÇOS DE HOSPEDAGEM, RESTAURANTE E EVENTOS","19520,1"
"VICTOR BUSINESS HOTEL LTDA","19434,25"
"HOTEL CEL. BERTASO S.A",19280
"LOCALIZA RENT A CAR S/A","19090,45"
"J.H.H. HOTEIS LTDA",19075
"NOBRE PALACE HOTEL LTDA","18399,25"
"HOTEL DE TRANSITO DA MARINHA EM INEMA",18388
