"local","gasto total"
"SCORIAL RIO HOTEL LTDA",5250
"VAVAOURO  HOTEL LTDA",5225
"RESERVE HOTEL SURUBIM LTDA - EPP",5180
"HOTEL PLAZA MAYOR LIMITADA EPP","5162,85"
"HOTEL COLINAS LTDA","4761,75"
"BOURBON DE SÃO PAULO HOTELARIA E ADMINIS. DE IMÓVEIS LTDA","4735,5"
"AGUAS PALACE HOTEL DE PETROLINA LTDA",4720
"IBIUNA TURISMO HOTEL - EIRELI-ME",4705
"SÃO JORGE CONSTRUÇÕES E EMPREENDIMENTOS LTDA","4573,8"
"ILB HOTELARIA E TURISMO LTDA",4531
"HOTEL FERRARI LTDA - ME",4400
"J COUTO OLIVEIRA LTDA HOTEL VILLAGE",4390
"ITATIAIA PALACE HOTEL CHAPECÓ LTDA","4305,6"
"ODASHIRO & CIA LTDA","4292,2"
"CATUSSABA HOTEL LTDA","4234,3"
"M. C. G. MONTEIRO","3952,5"
"INTERCONTINENTAL HOTELS GROUP DO BRASIL LTDA",3927
"HOTEL GOYA PLAZA LTDA","3839,85"
"HBS HOTELARIA LTDA","3837,6"
"GONÇALVES E BORGES",3750
"MARIA DAS GRAÇAS NOVAES FERRAZ",3733
"J B N HOTEL LTDA - ME","3676,5"
"ANTONIO'S PALACE HOTEL LTDA",3540
"ATLANTA HOTEL LTDA.",3474
"ANTONIO RODRIGUES DE FARIA-ME",3300
"HOTELARIA ACCORINVEST BRASIL S. A",3045
"HOTEL NACIONAL INN CAMPINAS LTDA",3042
"OTHON PALACE BELO HORIZONTE",3036
"BARRA BONITA SHOPPING EMPREENDIMENTOS E PARTICIPAÇÕES LTDA",2835
"POUSADA BARCELOS LTDA-ME",2780
"POUSADA CANCIONEIRO LTDA ME",2550
"DF DA SILVEIRA ME",2500
"MATHEUS DE ANDRADE MENDES SCAVACINI ME",2480
"HOTEL DEVILLE GUARULHOS LTDA","2413,6"
"M. A. DA SILVA HOTEL EIRELI-ME",2340
"IBIRAPUERA HOTEL & CONVENTION CENTER LTDA. - EPP","2290,05"
"VITORIA PALACE HOTEL LTDA",2195
"SONUS HOTEL LTDA",2080
"C DESIGN HOTEL EMPREENDIMENTOS IMOBILIÁRIOS SPE LTDA","2047,5"
"NORTE PALACE HOTEL",2032
"HOTEL DE TRANSITO DA MARINHA EM INEMA",1996
"ICH ADMINISTRAÇÃO DE HOTÉIS S.A","1778,7"
"IPE PARK HOTEL LTDA",1776
"ESTANPLAZA ADMINISTRADORA HOTELEIRA E COMERCIAL LTDA",1533
"RESIDENCE PALACE HOTEL LTDA ME",1509
"R J BUGARIM CARACAS",1480
"ITA SUN ADMINISTRAÇÃO DE CONDOMÍNIOS LTDA",1400
"ARCO ADMINISTRADORA LTDA - EPP","1333,5"
"INVESTCITY INVESTIMENTO E ADM DE IMOVEIS LTDA","1255,63"
"BARANZELLI&BARANZELLI LTDA ME - ME",1250
"E.HOTELARIA E TURISMO LTDA","1168,65"
"ALVAS & BATEZATI LTDA",1100
"LINHARES HOTEL E TURISMO LTDA",800
"BPS PARTICIPAÇÕES E EMPREENDIMENTOS TURÍSTICOS LTDA",710
"HAVANNA PALACE HOTELARIA LTDA",574
"GRUPAMENTO DE APOIO DE ALCÂNTARA",510
"GRAND HOTEL ROYAL SOROCABA LTDA - EPP",450
"INTERCITY ADMINISTRAÇÃO HOTELEIRA SE LTDA","409,5"
"GRANDE HOTEL ITAGUAI LTDA",294
"NOBILE GESTÃO DE EMPREENDIMENTOS LTDA SCP 001","269,85"
"2.0 HOTEIS PARAUAPEBAS LTDA","241,5"
"E S ODASHIRO ORGANIZAÇÃO E EVENTOS-ME",231
"BRUNA GARDENAL ROBUSTI & CIA LTDA EPP",130
