"estabelecimento","total"
"PELOTAS HOTEIS MANTA",4845
"TUVIL S A HOTÉIS COMÉRCIO E INDÚSTRIA","4783,29"
"JOSE PACIFICO DOS SANTOS",4740
"IBIUNA TURISMO HOTEL - EIRELI-ME",4705
"LAZAR EMPREENDIMENTOS TURÍSTICOS S/A",4500
"HOTEIS E TURISMO FLORESTA S/A",4490
"P. 1. ADMINISTRAÇÃO EM COMPLEXOS IMOBILIARIOS LTDA","4410,1"
"WINDSOR PALACE HOTEL LTDA","4116,48"
"TRANSAMERICA COMERCIAL SERVIÇOS LTDA","3953,25"
"IPE CENTER HOTEL LTDA",3870
"NORTE BUSINESS HOTELARIA E TURISMO LTDA","3726,45"
"LAHOTELS EMPREENDIMENTOS 1 LTDA","3663,9"
"HOTEL PRESIDENTE LTDA",3660
"HOTEL PREMIUM NORTE LTDA",3128
"FEMA HOTEL LTDA",3036
"OTHON PALACE BELO HORIZONTE",3036
"SANTOS DUMONT INVEST. IMOBILIARIO S/A - NOVOTEL RJ SANTOS DUMONT","2832,9"
"CLAUDIO MARTINS DE SOUSA NEIVA",2800
"BT AIRPORT HOTEIS LTDA","2614,5"
"HOTEL CASTELO DO NESMAG LTDA",2610
"IRMÃOS ALVES EMPREENDIMENTOS TURÍSTICOS LTDA",2580
"HOTEL DEVILLE GUARULHOS LTDA","2309,44"
"WINDSOR ADMINISTRAÇÃO DE HOTEIS E SERVIÇOS LTDA",2079
"HOTEL GLORIA S/A","1987,51"
"SERRA PALACE HOTEL",1735
"IRFATUR TURISMO E HOTELARIA S/A","1600,5"
"MARIA DOS HUMILDES RAMOS ME",1570
"HABITUR TURISMO LTDA","1540,2"
"HOTEL MOUNT EVEREST LTDA ME","1515,14"
"ITA SUN ADMINISTRAÇÃO DE CONDOMÍNIOS LTDA",1400
"COPACABANA RIO HOTEL S/A",1276
"BRUNA ANDREIA V ANTONIUK",1250
"HOTEL PACARAIMA - RR",1190
"PEDRO BURACK ME",1105
"ALVAS & BATEZATI LTDA",1100
"HOTEL ARATUR LTDA",1100
"TURIS FIRPER HOTEL LTDA",780
"BARRUDADA PALACE HOTEL LTDA",750
"HOTÉIS PAMPLONA LTDA - EPP",746
"BLUE TREE TOWERS - HOTELS & RESORTS DO BRASIL S/A","745,68"
"MARIA DO SOCORRO DE SOUSA COELHO",640
"MONIELLE MENEZES DA SILVA - EPP",600
"LUIZ ANTONIO GONTARZ",560
"LUIZ LEMES MARTINS - ME",480
"J.F.R. BOMBONATO HOTEL LTDA",400
"M.F. SAMPAIO DA SILVA",340
"HOTEIS E RESORTS DO BRASIL S/A","263,42"
"REDE NOBRE DE HOTELARIA LTDA",151
"HOTEIS DONA DINA LTDA",140
"BRUNA GARDENAL ROBUSTI & CIA LTDA EPP",130
