"estabelecimento","total gasto"
"PANIFICADORA N. S. DO PERPÉTUO SOCORRO",6680
"SUPERMERCADO BOM GOSTO LTDA","6668,9"
"RESTAURANTE MANTA LTDA","6607,9"
"MERCADO LUMER LTDA","6470,89"
"HORTIFRUT GUARUJÁ LTDA","6462,33"
"BUFFET JELLTCA LTDA","6321,8"
"PANIFICADORA E CONFEITARIA FREI LTDA. - EPP",6236
"FORMOSA SUPERMERCADO","6037,82"
"PANIFICADORA BENTEL LTDA","6030,8"
"LANCHONETE DUARTE - LTDA. (HELIPONTO BAR E RESTAUR",5952
"SR SUPERMERCADO LTDA","5943,65"
"BELÉM SERVIÇOS DE BORDO LTDA","5921,75"
"M. DE N. L. FEITOZA - MERCANTIL","5896,35"
"BUFFET CAMPO GRANDE LTDA",5858
"WMS SUPERMERCADOS DO BRASIL LTDA","5739,11"
"CÉLIO PEREIRA - ME",5700
"DALL'AGNOL&THOMÉ LTDA EPP",5628
"MARLENE RAMIRES SCANONI - ME","5607,5"
"WESTERN HOUSE - RESTAURANTE FINO SABOR","5557,5"
"RISTORANTE TERRAÇO GIARDINO GOLDEN INGÁ LTDA","5549,2"
"RESTAURANTE BACALHAU VINHO LTDA - EPP",5485
"RICARDO RUFINO CECILIO - ME",5463
"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO - PÃO DE AÇUCAR","5442,77"
"CHURRASCARIA REI DA COSTELA",5440
"ROTISSERIE DELLE SORELLE LTDA",5318
"XODÓ DA VOVÓ LTDA - EPP",5300
"R R COMIDA POR KUILO LTDA",5244
"ITAPOA SUPERMERCADO LTDA","5223,4"
"M.G. RICCIARDI & CIA LTDA . - EPP",5181
"RESTAURANTE PANORAMA - DALTO SCHEIBEL","5153,5"
"PADARIA TRIGO DA TERRA LTDA",5150
"VICTOR BUSINESS HOTEL LTDA",5085
"FRILLER BRASIL ALIMENTOS LTDA","5070,34"
"FRANCISCO DE ASSIS RODRIGUES",5065
"MCDONALDS COMERCIO DE ALIMENTOS LTDA","5057,8"
"MARALCO COMÉRCIO ALIMENTOS LTDA",5033
"NINKI SELF SERVICE LTDA - ME",5023
"R D COMERCIAL DE ALIMENTOS E RAÇÕES LTDA. ME","4992,36"
"EDNOZELLA ME",4980
"RESTAURANTE JOÁ LTDA","4979,66"
"SINHA-NORT COMERCIO E REPRESENTAÇÕES LTDA","4950,5"
"CHURRACARIA EXPO-ANHEMBI LTDA.EPP",4920
"KRISTINNE REFEIÇOES LTDA",4917
"CAFE FIORENZE LTDA",4862
"PAPA SERVIÇOS DE ALIMENTAÇÃO LTDA",4830
"BOMPREÇO BAHIA-SUPERMERCADOS LTDA","4804,52"
"IRENILDE RODRIGUES DA SILVA",4785
"ARRAS COMERCIO DE ALIMENTOS LTDA","4779,9"
"HOTEL FEIRA PALACE EVENTOS E TURISMO LTDA",4740
"S.M. DA SILVA - ME",4734
"C. M. CALIMAN",4726
"M. A. SILVA & SILVA LTDA","4717,15"
"VITORIA SUPERMERCADOSLTDA","4706,05"
"HOTEL BEIRA RIO DE ITUMBIARA LTDA","4679,4"
"SUPERMERCADO GONÇALVES LTDA","4670,12"
"ELZINEIDE BERNARDINO PEREIRA - ME",4664
"FORTALEZA SERVIÇOS DE BORDO","4633,69"
