"estabelecimento","total gasto"
"K S PIERONI & CIA LTDA - ME","1149,2"
"FOGÃO A LENHA",1148
"MERCO PLAZA HOTEL - HZ HOTELARIA E ADM. IMÓVEIS LTDA",1144
"MESQUITA ADM. DE HOTEIS LTDA (HOTEL CANTO DA FLORESTA)",1144
"PANIFICADORA E CONFEITARIA LEMAR LTDA",1143
"ADEMIR RODRIGUES DE MENESES","1139,75"
"EMPREENDIMENTOS TUDO NO ESPETO","1130,9"
"S.D. DOCERIA E BUFFET LTDA",1119
"PTISQUEIRA E RESTAURANTE GOLFINHO DOURADO LTDA - ME","1118,4"
"MARCUS VINICIUS PEDROSA VERAS","1117,5"
"PEREIRA PINTO COMERCIO DE GENEROS ALIMENTICIOS LTDA","1116,54"
"J VIANEY PEREIRA QUINTO","1102,5"
"CHURRASCARIA E PIZZARIA AFONSO GRILL LTDA",1100
"ALAÍDE MARTINS DA SILVA",1096
"BOMPREÇO S/A SUPERMERCADOS DO NORDESTE","1087,17"
"METROPOLITAN HOTEL LTDA",1085
"MACRO ATACADO TREICHEL LTDA","1084,68"
"SODEXHO DO BRASIL COMERCIAL LTDA",1072
"BAR E RESTAURANTE TIA SALETE BAR BRENOTAUANA LTDA",1068
"PAES E DOCES CACONDE LTDA",1068
"DOCES MAQUINÉ LTDA","1067,2"
"CANECO BAR LTDA","1063,2"
"BENEDITA APARECIDA DA SILVA PADARIA - ME-SANTA RITA",1057
"DAYANE VILHENA DOS SANTOS",1056
"QUIOSQUE DOIS IRMÃOS",1056
"ANDRÉ LUIS DE SOUZA",1053
"SENDAS DISTRIBUIDORA SA","1050,74"
"EXTRA NORTE SUPERMERCADO LTDA","1050,54"
"CORDILHEIRA COMERCIO DE SUCOS E LANCHES LTDA",1050
"DOCE MAIOR CONFEITARIA INDÚSTRIA E COMÉRCIO LTDA",1050
"G. FERREIRA MARQUES RESTAURANTES - ME",1050
"GIOVANI & FERREIRA LTDA",1050
"MARIA JOSÉ DE CAMARGO BONANI E CIA LTDA - ME",1050
"PADARIA E CONFEITARIA BAVARIA LTDA",1050
"PESTANA - BAHIAINVEST INVESTIMENTOS TURÍSTICOS LTDA","1048,92"
"TB ALIMENTOS VITÓRIA LTDA",1046
"MONTESUL CHURRASCARIA LTDA.ME.","1042,9"
"MARIA CRISTINA CAPANEMA GONÇALVES",1042
"CICERA LEITE BEZERRA MEDEIROS - ME","1040,6"
"SUPERMERCADO GUANABARA SA","1037,97"
"PADARIA BELOPÃES LTDA",1035
"PANIFICADORA GOIÁS",1035
"R&E GUARUJA COMERCIAL DE ALIMENTOS LTDA","1034,17"
"JR RESTAURANTE BODE ASSADO FELIX LTDA ME",1020
"PURAS DO BRASIL SOCIEDADE ANÔNIMA","1017,6"
"CONDOR SUPER CENTER LTDA","1013,82"
"CHURRACARIA SARTORI LTDA",1008
"NOGUEIRA DE LIMA E FILHOS LTDA",1008
"NELCI DIAS MACIEL - ME",990
"PANIFICADORA CONFEITARIA E ASSADOS LTDA","986,6"
"CARLÃO LANCHES",980
"ALEXANDRE MATTAR IND. HOT. LTDA - HOTEL DAS PALMEIRA",972
"LABASAM SUPER LANCHES LTDA",963
"FABRICA DE BISCOITOS E PANIFICADORA BARÃO LTDA","953,4"
"GRAN MARQUISE EMPREENDIMENTOS S.A","943,77"
"NARA LAISE FREIRE SILVA","942,5"
"ARRAS COMÉRCIO DE ALIMENTOS LTDA","941,25"
"MEIRE SUZANA BAO",940
"BASTOS HOTÉIS E TURISMO LTDA",936
"RODEIO RESTAURANTE",936
"ROZI FURTADO GARCIA",926
"RESTAURANTE DELES LTDA",923
"RESTAURANTE AGUA NA BOCA",922
"DAMASCO, DAMASCO, QUINTINO DE JESUS LTDA","917,7"
"BOB'S","915,5"
"LORENO KRUTZMANN ME","910,5"
"PANIFICADOREA MAURICIO DE NASSAU LTDA",910
"PANIFICADORA PARQUE CECAP LTDA  - EPP","909,9"
"ATLÂNTICO RESTAURANTE LUCAS LTDA","908,34"
"BELISCÃO EXPRESS","903,2"
"ORDEPA ALIMENTOS E BEBIDAS LTDA",903
"ARCOS DOURADOS COM. DE ALIM. LTDA","902,1"
"DOLABELA E SILVA INDUSTRIA E COMERCIO LTDA - EPP",900
"RESTAURANTE FLORES LTDA - FORNO FOGÃO",900
"BOMPREÇO BAHIA SUPERMERCADOS LTDA","899,72"
"CLODOIR JOÃO DA SILVA JACO MOSSI ME",889
"DISK GOURMET COMÉRCIO DE ALIMENTOS LTDA","880,6"
"GERY'S RESTAURANTE LTDA",880
"PADARIA BOM DE MAIS E MANIA LTDA",872
"SP ALIMENTAÇÃO E SERVIÇOS LTDA","871,5"
"FATO BRASIL","868,75"
"ADÃO FERNANDES DE MACEDO","862,5"
"RESTAURANTE BADEN BANDEN LTDA",861
"COMERCIAL MATTOS LTDA",860
"J. GILVAN DE BRITO",860
"AUTO POSTO OURO VERDE DE REGISTRO LTDA",858
"RESTAURANTE BIG MEAL LTDA",855
"JOSENILDO ARAÚJO D OLIVEIRA - ME","850,8"
"CAFE E BAR JOIA DO BOTANICO LTDA","850,5"
"SERALCO-SERGIPE ALIMENTOS E COMERCIO LTDA.","843,6"
"CHURRASCARIA ANJO DOURADO LTDA","843,5"
"ROMAR COMÉRCIO LTDA","840,75"
"IRMÃOS ANDRADE COMERCIO DE PESCADOS LTDA",840
"JM BERZAGUI",840
"PAES E DOCES NOVA GALERIA",840
"PREMIUM RESTAURANTE E SERVIÇOS HOTELEIROS LTDA ME",840
"BOMPREÇO S.A SUPERMERCADOS DO NORDESTE","835,54"
"ABSM LANCHES LTDA","834,5"
"HOTEL E RESTAURANTE ÂNCORA LTDA - ME","832,5"
"BAR LANCHENETE E MINI MERCADO LAFERRARI LTDA-ME","830,5"
"PREZUNIC COMERCIAL LTDA","824,66"
"PANIFICADORA RIACHUELO LTDA",820
"BAR 14 BEER LTDA","816,5"
"JOSE DOS SANTOS RODRIGUES",810
"CENTRO DE ADESTRAMENTO DA MARAMBAIA (CADIM)",808
"CRER2007- GOLDEN TULIP CONTINENTAL",805
"CASA DI ROMA ALIMENTOS LTDA - EPP",800
"FALDI & CIA LTDA",800
"RAIMUNDO MARIANO DOS SANTOS RESTAURANTE","797,5"
"Y YAMADA S/A COM. IND","796,1"
"ASSOCIAÇÃO RECREATIVA CABANA CLUBE","795,6"
"OSNI ENETE DE OLIVEIRA",792
"UBIRATAN DE JESUS ROCHA","789,87"
"JANDAIA HOTEL LTDA","785,4"
"CHURRASCARIA FORMENTO LTDA - EPP",784
"CAFÉ E BAR BARÃO DA TORRE LTDA -  ITAHY",779
"NOGUEIRA BASTOS COMÉRCIO VAREJISTA DE GENEROS ALIMENTÍCIOS LTDA","776,8"
"FRANCISCO DE ASSIS MENDONÇA SILVA",776
"BARBOSA DE SOUZA E RODRIGUES LTDA-SUPERMERCADO ALVORADA","769,31"
"AN LANCHONETE E RESTAURANTE LTDA",768
"CAFE E BAR QUICK LTDA.","767,5"
"BAR E RESTAURANTE CASTEGLIONE",759
"HOTELARIA PRAIA COMPRIDA LTDA","756,8"
"SAINT ANTOINE PANIFICADORA E CONFEITARIA LTDA",756
"EDEN BAR E RESTAURANTE LTDA",750
"CHURRASCARIA RESIDENCIA IV",744
"FONSECA COMERCIO E INDUSTRIA DE ALIMENTOS LTDA",744
"A. J. DA SILVA COSTA - ME",741
"PROALFA COMERCIIO E DISTRIBUÇÃO LTDA","739,92"
"LUA CHEIA BAR E RESTAURANTE LTDA","739,8"
"MÁRIO SÉRGIO DA SILVA SANTOS - ME",738
"EMERSON VIANA VERAS","737,5"
"PÃES E DOCES NOVA MASCENA LTDA",735
"RESTPAM COMÉRCIO VAREJISTA DE ALIMENTOS LTDA.","729,6"
"M. A. S. SANTOS ARAÚJO",725
"SANDUICHERIA GOSTO E SABOR LTDA - ME",725
"JURANDIR FRANCA DOS SANTOS-ME",714
"VN E FN SUPERMERCADOS LTDA","708,82"
"KALLOPOLLI COMÉRCIO DE ALIMENTOS LTDA","706,8"
"SONAE DISTRIBUIÇÃO BRASIL S.A","704,53"
"ROBERTO CARLOS LIMA DE SOUZA - ME",704
"CARVALHO E FERNANDES LTDA",701
"NUTRIBEM ALIMENTAÇÕES LTDA",700
"ELDORADO S.A","696,54"
"HOTEL AEROPORTO LTDA",696
"SAUIPE S.A - SAUIPE PARK",696
"MARIA IVANIR DE SÁ BRAGANÇA - ME","695,5"
"GRAN MELIÁ MOFARREJ",690
"PANIFICADORA O PÃO NOSSO LTDA","689,3"
"SUPERMERCADO NORONHÃO LTDA","688,83"
"BUONA PIZZA COMÉRCIO DE ALIMENTAÇÃO LTDA","685,74"
"MALIBU PALACE HOTEL S/A","675,87"
"DANIELA PEREIRA DOS SANTOS - ME",675
"MORUBI HOTEIS",675
"BARBOSA COMERCIAL","668,9"
"RESTAURANTE E PIZZARIA UBERLANDIA","668,24"
"CARLINHOS PEDRO PLUCINSKI","663,5"
"CHURRASCARIA PANTANAL",660
"NEW ANAPOLIS HOTEL",660
"PANIFICADORA OURO PÃO LTDA",660
"PANIFICADORA UNIÃO FIALENSE LTDA",660
"RESTAURANTE PARAISO TROPICAL",660
"MACDONALD'S COMERCIO DE ALIMENTAÇÃO LTDA","658,25"
"RESTAURANTE ACREANO","654,5"
"F. MARINALDO ALVES GOMES",650
"L.L. DE SOUSA MESQUITA",648
"LEONIR TEREZA DA SILVA - ME",648
"AUTO POSTO CATARINÃO LTDA",640
"CHURRASCARIA O RECANTO DA SERRA LTDA","637,5"
"LANCHERIA CEL. VICENTE LTDA",636
"M. H. S. BARRETO CIA LTDA","632,4"
"ALEXANDRE MOREIRA GOMES",630
"BOI QUE RI",630
"COZINHA CHINEZA CHAN CHEN LTDA.",630
"J. D. S.  OLIVEIRA",630
"JOSE SILVIO ARAUJO MELO - ME",630
"MARTINS INDÚSTRIA E COMÉRCIO LTDA",630
"PANIFICADORA ENERGIA LTDA",630
"COMERCIAL CASTELO BRANCO LTDA","627,62"
"A.ANGELONI & CIA. LTDA","626,02"
"FAZENDA SANTA CLARA",625
"CLUBE RECREATIVO TUCURUÍ",624
"M.J.M.DOMINGOS",624
"MARIA HELIA VIANA DE SOUZA - ME",624
"BAR PIGALLE CLUB LTDA",621
"NAZARETH SIQUEIRA GUAIABA E CIA LTDA",621
"SOUZA BISPO LTDA",621
"IRMÃOS BRETAS  FILHOS E CIA LTDA","619,3"
"JACQUELINE SÁ SILVA","616,8"
"PANIFICADORA PAO E PAO",616
"R.C. ADMINISTRADORA LTDA",616
"RESTAURANTE BERLIM- JAIR P GIEHL",616
"FERNANDES % OLIVEIRA",610
"HOTEL HIMMELBLAU PALACE LTDA","605,9"
"CANTINHO GOIANO",605
"CARBALHO FARO & CIA LTDA","600,46"
"A. L. O. DE SOUZA (ME)",600
"ALCINEIA SOUZA DOS SANTOS",600
"METROPOLITANO BAR LTDA",600
"CANTINA NONO ANTONIO LTDA - ME",599
"FOGÃO DE MINAS RESTAURANTE LTDA","597,37"
"PADARIA E CONFEITARIA DIVINÓPOLIS LTDA",595
"LANCHONETE LA GONDOLA LTDA","594,4"
"GRAN BUFFET VICTORIAN LTDA",590
"RAQUEL ELIANE FERREIRA LOCATTI - ME",590
"RESTAURANTE CARNE DE SOL PICUI",585
"CIA BRASILEIRA DE DISTRIBUIÇÃO","582,72"
"PESTIQUEIRA E RESTAURANTE GOLFINHO DOURADO - ME",580
"CLAUDIA FATIMA PADRÃO GARCIA - ME","578,67"
"AGNALDO ALVES CAMPOS E CIA LTDA",576
"G. KOCK & CIA LTDA",576
"MC DONALDS COMERCIO DE ALIMENTOS",570
"CHURRASCARIA PORTO ALEGRE LTDA",567
"MOEMA LANCHES E SUCOS LTDA - EPP","560,5"
"CAFÉ CONTOS DE MINAS LTDA - ME",560
"DARLAN JOSÉ  DALAGNOL & CIA LTDA","552,5"
"SENDAS DISTRIBUIDORA S.A.","552,38"
"ARRAS COMERCIO DE ALIMENTOS LTDA (MAC DONALDS)","551,25"
"THIAGO JOSE MEDEIROS SAMPAIO CANTINA - ME",551
"I.L. SIMÕES LANCHONETE - ME",550
"JAZIEL M DO NASCIMENTO",550
"RENICIO SCHAURICH",550
"AZULINO FAST FOOD RESTAURANTE LTDA","545,9"
"L. D. LUCENA LTDA","543,6"
"REALCE COMERCIO DE ALIMENTOS LTDA","540,41"
"QUINZANI KEPPE & CIA LTDA",540
"ROYALTY BARRA HOTEL",540
"MEGA POLO RESTAURANTE LTDA - EPP","537,5"
"LUCSIM HOTÉIS LTDA","536,2"
"MACAPA HOTEL",533
"BAR E RESTAURANTE BONACINA LTDA","532,5"
"SUPERMERCADO LUCIANO DAS NEVES LTDA","529,1"
"GOLDEN GATE INDUSTRIA DE ALIMENTOS LTDA","526,5"
"BABY BURGUER LANCHES LTDA",525
"RAIMUNDO MANOEL DA SILVA RESTAURANTE-ME",525
"DAMASCENO & DAMASCENO LTDA","518,1"
"COMPANHIA ZAFFARI COMERCIO E INDUSTRIA","516,06"
"ESPIRITO DO CHOPP COMERCIO E ALIMENTOS LTDA","512,82"
"EVERALDO DOS SANTOS BATISTA",511
"JORGE HENRIQUE CORREIA-EPP",511
"ABACO CANTINA","510,4"
"AMARELIM BAR E RESTAURANTE LTDA",510
"SPYDER GESTÃO EMPRESARIAL LTDA",507
"PANIFICADORA E CONFEITARIA PÃO DE AÇÚCAR LTDA",506
"PEDERIVA & IRMÃOS LTDA",506
"SENDAS DISTRIBUIDORA S/A","505,63"
"RESTAURANTE LA VALENCIANA COM. E SERVIÇOS LTDA","501,6"
"APARECIDA FATIMA VILALBA FALCO",494
"COMERCIAL DE ALIMENTOS SÃO PAULO LTDA MEE","490,05"
"HOTELÉO - HOTÉIS E TURISMO LTDA-LEON PARK",488
"CONFEITARIA SANTO AMARO LTDA",486
"ASSASAVASSI LTDA","485,3"
"PAO GOSTOSO","480,9"
"EDM SOARES HOTELARIA ME",480
"MARINHO´S BAR LTDA - MEE",480
"RESTAURANTE E CHURRASCARIA SAL GROSSO LTDA",480
"SANFRA´S BAR GRILL & CHOPP LTDA - ME","479,6"
"QSC ALIMENTOS E COMERCIO LTDA","474,35"
"RECANTO DO PICUÍ",472
"CHARQUEADA SANTA RITA LTDA","470,6"
"CROWNE PLAZA - BELEM","466,15"
"NOSSO PÃO-MFR PANIFICADORA E CONFEITARIA LTDA",462
"Y YAMADA","460,56"
"CAFÉ E BAR RIO DANTAS LTDA",460
"SAN DIEGO HOTEL LTDA",456
"M.P.A. PARTICIPAÇÃO E ADMINISTRAÇÃO DE BENS E NEGÓCIOS LTDA","453,2"
"R & P EMPREENDIMENTOS ALIMTENTÍCIOS LTDA","451,56"
"RESTAURANTE E PIZZARIA PRATO FINO - ME","450,5"
"RESTAURANTE TENDA PAULISTA REFEIÇÕES LTDA",450
"BARCA RESTAURANTE E CHURRASCARIA LTDA",448
"SPACE BURGUER COMÉRCIO DE ALIMENTOS LTDA","447,75"
"RESTAURANTE AMORE MA&SA LTDA","445,5"
"BAR E RESTAURANTE JAMBOCK 313 MINI MERCADO LTDA ME",444
"GÓTICA PÃES E DOCES LTDA - EPP","440,1"
"VCN EMPREENDIMENTOS LTDA",440
"BOM PREÇO BAHIA S/A","435,18"
"ALESSANDRA BURANELLI NAKATA ME","434,5"
"LUIZ EVANILDO DE FRANÇA - HOTEL BELAS ARTES",432
"MCDONALD'S","427,5"
"DONDÉ & BUSINI LTDA ME.",426
"NOSSA CASA SELF SERVICE LTDA","425,5"
"BOB´S",422
"GUIMARÃES EMPREENDIMENTOS","421,6"
"SALA NOVE LANCHES LTDA",420
"LASELVA COMERCIAL LTDA","418,28"
"SUPERMERCADOS DO BRASIL S/A","416,07"
"MINI MERCADO DANTE DE PATTA LTDA",416
"LOURIVAL PESSOA MARQUES FILHO-ME-SPAZIO HOTEL",405
"PEDRO AMÉRICO VALADARES - ME","403,6"
"HOTEL ANACÃ SÃO CARLOS LTDA",402
"ANASTACIO ALBERTO TEIXEIRA & CIA LTDA",400
"AUTO POSTO DO TRABALHO LTDA",400
"J. M. DE ARAÚJO",400
"JME SANTO",400
"LANCHONETE ESQUINA DE ITACARÉ LTDA",400
"NEUZA PEREIRA DA ROCHA",400
"EMBRASA S/A  ALIMENTAÇÃO E SERVIÇOS","398,4"
"PANIFICADORA E LANCHONETE EXPRESSO PAES LTDA ME",395
"CRISTIANE A. MANENTE NEVES & CIA LTDA",393
"DONA ROÇA COMIDA MINEIRA",392
"KAP ANTHONI BAR E RESTAURANTE LTDA - EPP",390
"LANCHONETE PER BACCO 158 LTDA.",385
"MARIA DE FÁTIMA CRESPO PILLA",384
"PILÕES PALACE HOTEL LTDA",384
"TRIZOTO & TRIZOTO LTDA-GALPÃO PIZZARIA",384
"NINA COMERCIO DE ALIMENTOS LTDA","382,25"
"DOM CARLOS RESTAURANTE LTDA","379,25"
"LANCHONETE SÃO JORGE LTDA ME.",370
"PASTEL E CIA - MICHEL MIKHAEL NADER",368
"PANIFICADORA PANETTIERE FREI MANSUETO LTDA","367,5"
"MOISES MAGGIONI - MAGG'S",364
"ROCATEL LTDA",363
"FINOS SABORES RESTAURANTE LTDA ME MEE",360
"P.K. HOTELARIA E ADM. DE BENS LTDA",360
"PANIFICADORA E CONFEITARIA NOVA PRIMAVERA - LTDA",360
"LUIZ R. O. CADAXO","357,5"
"GOLDEN EXECUTIVE HOTEL LTDA","357,4"
"CARREFOUR COMÉRCIO E INDÚSTRIA LTDA.","356,28"
"COFFE CLUB CAFE LTDA - ME",354
"CHURRASCARIA CASA NOVA LTDA",352
"SÃO LUIS INVEST HOTELARIA E TURISMO LTDA",352
"HARGER & SILVA SUPERMERCADOS LTDA",350
"SUAVE SABOR RESTAURANTE E LANCHONETE LTDA - EPP",350
"A R SOUZA ME/MEE",348
"PANIFICADORA  PADRÃO REAL III LTDA.","347,6"
"EFE ELE COMERCIO LTDA","347,5"
"LANCHONETE DRAGÃO DE BELÉM LTDA - ME",345
"NUTRISERVE COMÉRCIO DE ALIMENTOS LTDA ME",345
"BAR E CANTINA UIRAPURU LTDA",342
"J COUTO OLIVEIRA LTDA HOTEL VILLAGE",340
"SALEN'S RESTAURANTES LTDA",336
"ACRÓPOLIS MARINA HOTEL",330
"COMERCIO DE ALIMENTOS PAPILLON LTDA",330
"HOTÉIS G.P S/A",330
"MAX SAVASSI ADMINISTRAÇÃO HOTELEIRA LTDA",330
"VANCEL-RESTAURANTE SABOR DA CASA LTDA",330
"L ORANGE RESTAURANTE",328
"SUPERMERCADO PRAIÃO LTDA","325,25"
"GALETÃO",325
"TOCA DO NETO PIZZARIA E RESTAURANTE LTDA",324
"LANCHONETE RIKINHO II LTDA. ME",320
"ROSEANE PURIFICAÇÃO LEAL",320
"RESTAURANTE CANTINA DO SUL LTDA",319
"MCDONALD´S","318,4"
"MC DONALD'S COMERCIO DE ALIMENTOS",318
"MCDONALD'S COMERCIO",318
"SERVIÇO SOCIAL DO COMÉRCIO - SESC",315
"RESTAURANTE IRMÃOS CAMPOS LTDA",314
"BAR E RESTAURANTE CASA BELLA",312
"M & T. ALOJAMENTOS LTDA-ME",312
"PORTO SEGURO HOTEL SALTO LTDA",312
"GRANDE HOTEL CANADA LTDA","309,3"
"LAGUNA TOURIST HOTEL LTDA",307
"CAFE EXPRESSO SULTÃO",306
"MARE ALTA PUB MACAE RESTAURANTE LTDA",306
"CATERVALLE ALIMENTOS E SERVIÇOS LTDA","305,3"
"ADAILTON DO ESPIRITO SANTO COSTA",305
"CATIA SHEILA SERENA RAMPENELLI",302
"BABY LANCHES",300
"J L B RESTAURANTE E ROTISSERIE LTDA. ME",300
"LE CANARD SERVIÇOS DE HOTELARIA LTDA",300
"LUIZ CARLOS DA SILVA (ME)",300
"M.O.BASTOS - ME",300
"M.P.S. SERVIÇOS LTDA - ME",300
"SERVICOM CATERING - REFEIÇÕES LTDA","299,65"
"BOMPREÇO BAHIA LTDA","299,32"
"ESFILHA BOA MANIA LTDA","298,2"
"CHURRASCARIA ZEBÚ & ZEBÚ LTDA -ME",297
"ANTONIO VIEIRA PRATES ME",295
"FRIGOMIL FRIGORIFICO MINEIRO LTDA",295
"SANTO SABOR-NILTON DA LUZ GOIS - ME","294,5"
"N V S PATRAO BAR E RESTAURANTE LTDA",289
"BRAGA E VIANA LTDA","281,75"
"GIVANILSON SILVA SANTOS",280
"VENHBO COMERCIO DE ALIMENTOS LTDA",279
"ELAINE SARMENTO DOS SANTOS - ME",276
"TOURIST PARQUE HOTEL - REDE MANTA DE LAZER E TURISMO",276
"EMPRESA HOTELEIRA NICOR LTDA",273
"SCAN COMERCIO",273
"M M FRANCO & CIA LTDA - ME","272,8"
"CHURRASCARIA SARANDI LTDA -ME",272
"JUARES",272
"SUSHI-MING RESTAURANTE","270,4"
"CHURRASCARIA TCHÊ PICANHAS LTDA",270
"RESTAURANTE E CHOPERIA MORUMBI LTDA - ME",270
"RESTAURANTE RODA CHOPP LTDA",268
"A.C. PORTELA IMPORTAÇÃO E EXPORTAÇÃO LTDA","266,73"
"RESTAURANTE BEIRA RIO",264
"RESTAURANTE DO LUIGI",264
"RESTAURANTECAROLI E SILVA LTDA",264
"PAULO HENRIQUE DAUFEMBACH - ME","263,5"
"SUPERMERCADO PALATO MACEIO","262,58"
"LMS COMÉRCIO DE ALIMENTOS LTDA","260,7"
"BAR E RESTAURANTE ZANETTI&MOTA LTDA - EPP",258
"C. DE LIMA LÓCIO",258
"LATICINIOS QUEIROZ","257,93"
"CAFÉ E BAR SELVA LTDA",255
"HOTEL TURISMO LE MAZOT SURMER LTDA",255
"JOSÉ PAULO CARNEIRO FILHO",255
"PEREIRA E MORAES RESTAURANTE LTDA",255
"CASAS GUANABARA COMESTÍVEIS LTDA","252,05"
"I DE SOUZA RAMOS E CIA LTDA",252
"VILLA FRANCISCA COM. DE ALIMENTOS LTDA",252
"ROSANGELA DE OLIVEIRA VERDE",250
"R. & P. EMPREENDIMENTOS ALIMENTÍCIOS LTDA","246,4"
"CARREFOUR COMÉRCIO E INDÚSTIRA LTDA","243,78"
"DJALMA LUIZ DA ROCHA - ME","242,4"
"SUPERMERCADO POLIVALENTE","241,17"
"ATLANTICA HOTELS INTRNACIONAL LTDA",240
"PADARIA E CONVENIÊNCIA SANTOS",240
"S.A QUEIROZ CASA DAS BALAS",240
"VALMIR A DALLA CORTE CHURRASCARIA -EPP",240
"WALLMART SUPERMERCADO DO BRASIL LTDA","239,93"
"PANIFICADORA TRANZA LTDA","239,8"
"KINO EMPREENDIMENTO HOTELEIRO LTDA",239
"BISTRÔ LANCHONETE LTDA",238
"C G COSTA",238
"RESTAURANTE NESS LTDA",234
"PESTANA NATAL HOTEL","233,86"
"RESTAURANTE ARABIA","228,8"
"MARIENE PEDROSO DA SILVA - RESTAURANTE",228
"FRANGASSO COMÉRCIO DE FRANGOS LTDA",225
"SENE FERREGUTTI CHOPERIA E WHISQUERIA LTDA",225
"SUPER MERCADO ZONA SUL S/A","224,7"
"HOTEL CEL. BERTASO S.A","224,1"
"CANTO DO SOL HOTÉIS E TURISMO LTDA",224
"CEVEL CECILIO VEÍCULOS","219,5"
"RESTAURANTE AEROPORTO",218
"JURACY DA SILVA COSMO",217
"HOTEL BELVEDERE LTDA.","214,94"
"PRANZO COMERCIO DE ALIMENTOS - LTDA","210,28"
"BAR SAKURA LTDA",210
"PADARIA E CONFEITARIA ESTRELA POLAR LTDA",210
"RODRIGUES &IRMÃO LTDA - CAFE AQUARIOS",210
"SOARES & FERNANDES RESTAURANTE LTDA",210
"AJA EMPREENDIMENTOS ALIMENTÍCIOS LTDA - EPP","207,2"
"WMF COMERCIO DE ALIMENTOS LTDA MC DONALDS","204,4"
"PAULA DE FRANÇA LIMA",204
"TELMA MARIA QUEIROZ PESSOA",204
"LCD COMERCIAL LTDA",203
"ALVANI CASSIANO DA CUNHA",200
"C.A.DA S. CARDOSO",200
"LILIAN S. K. NAKANO -ME",200
"RAQUEL QUEIROZ DE ARAUJO",200
"RESTAURANTE E PIZZARIA REALEZA DE SANTA CRUZ LTDA. ME",200
"RESTAURANTE MINAS TCHÊ LTDA",200
"MCDONALD´S COMERCIO DE ALIMENTOS LTDA",199
"BABY'S GULA RESTAURANTE LTDA",198
"L.S DE OLIVEIRA LANDIM","196,5"
"COMERCIAL DE ALIMENTOS JOSE EDUARDO LTDA",196
"PETISQUEIRA BOKERÃO DUPERA LTDA","195,6"
"PADARIA E CONFEITARIA NOBREGA",195
"GRAND HOTEL CADORO - INDÚSTRIA DE HOTÉIS GUZZONI S/A","193,4"
"4ª COMPANHIA DE GUARDAS - 6ª RM - SALVADOR/BA",190
"SIGNATURE FLIGHT SUPPORT","187,01"
"PANIFICADORA COPACABANA LTDA",186
"DARCI INÁCIO WEIZENMANN","185,6"
"GB DA SILVA HOTEL E CHURRASCARIA  - ME","184,8"
"CHURRASCARIA E BUFFET DOURADÃO",182
"SOLARUIM SÃO PAULO S.A.","180,5"
"BAR E CAFÉ FLOR DO NORTE LTDA",180
"RESTAURANTE ABENÇOADO",180
"ROMANOS PANIFICADORA LTDA",180
"WELINGTON LUIZ DE OLIVEIRA SANTOS ME","179,7"
"ERENIZE GUERRA ANDRADE",176
"IRMÃOS ALVES EMPREENDIMENTOS TURÍSTICOS LTDA",175
"IRMÃOS BARBOSA REFEIÇÕES INDUSTRIAIS LTDA",175
"LEDU EMPREENDIMENTOS HOTELEIRO LTDA",173
"TOP INTERNACIONAL",173
"RESTAURANTE OLIVOS LTDA","171,2"
"JVS PADARIA LTDA",170
"MARIA DA GLÓRIA HENRIQUE DOS SANTOS",168
"CHURRASCARIA MAURICIO LTDA",165
"WINDSOR BARRA HOTEL LTDA",165
"MMB COMÉRCIO DE ALIMENTOS LTDA",164
"PIZZA EXPRESS","162,5"
"BARCA RESTAURANTE E CHURRASCARIA",162
"DALLA COMÉRCIO DE GÊNEROS ALIMENTÍCIOS LTDA",162
"COZINHA PAPILOTE PRODUTOS ALIMENTÍCIOS LTDA","161,6"
"JAVORSKI & CIA LTDA","160,8"
"AQUINO & CRUZ LTDA","157,5"
"SPEED LANCHES","154,4"
"M. DO C. SOUTO DANTAS-ME",153
"BAR E LANCHONETE RODA DO PAPO FURADO LTDA",150
"ELIENE VASCONCELOS CABIRTA- CABANINHA",150
"JPA EMPREENDIMENTOS HOTELEIROS E TURÍSTICOS LTDA - MRE",150
"PADARIA E MERCEARIA AEROPORTO DE SOROCABA LTDA - EPP",150
"ROSEMEIRE DE MACENA - ME",150
"SAN MARINO HOTEL - ORGANIZAÇÃO HOTELEIRA JOMATEL LTDA",150
"SORVETE ITALIA",150
"ESTAÇÃO DELICIA","149,6"
"MILENE BIFFI",148
"HOTEL PARAUHAU LTDA",147
"RIBEIRO & FERREIRA LANCHONETE LTDA - ME",145
"TFC COMERCIO DE ALIMENTOS LTDA",145
"KZAR BAR & RESTAURANTE","144,06"
"BARRETUR GRILL COMERCIO LTDA",144
"CARDUM PALACE HOTEL LTDA",144
"MÁRCIA MARIA ASSIS DE PAULA",144
"MARIA NAIR DE OLIVEIRA",144
"TAG COMÉRCIO DE ALIMENTOS LTDA","143,65"
"PERICLES OLIVEIRA SILVA",141
"AMIGOS DO LEBLON COMERCIO DE FRUTAS LTDA","140,9"
"ELIANE DE SOUZA LOPES PAIXAO - ME",140
"IVONE PIRES FUNNICHELI",140
"MC DONALD'S","137,5"
"JORGE SILVA DA CRUZ","136,7"
"HOTEL RIO DO SONO LTDA",136
"SHOP PLAST COMERCIAL DE EMBALAGEM LTDA","135,84"
"BOM PREÇO SUPERMERCADOS DO NORDESTE LTDA","135,82"
"LANCHONETE PAMPLONA LTDA ME",135
"SINOSCAP - GALETERIA E RESTAURANTE LTDA",135
"DL DE SOUZA 7 CIA LTDA",134
