"UF","Cidade","Data","Dados da apreensão","Tipo penal"
"SP","São José dos Campos",10/05/2016,"DOIS TRINCA FERRO, SEM ANILHA;DOIS TRINCA FERRO, SEM ANILHA;SEIS CANÁRIOS DA TERRA VERDADEIRO, SEM ANILHA;SEIS CANÁRIOS DA TERRA VERDADEIRO, SEM ANILHA;UM CANÁRIO DA TERRA VERDADEIRO, COM ANILHA SUSPEITA DE ADULTERAÇÃO;UM CANÁRIO DA TERRA VERDADEIRO, COM ANILHA SUSPEITA DE ADULTERAÇÃO;UM SABIÁ LARANJEIRA SEM ANILHA;UM SABIÁ LARANJEIRA SEM ANILHA;UM TRINCA FERRO, COM ANILHA SUSPEITA DE ADULTERAÇÃO.;UM TRINCA FERRO, COM ANILHA SUSPEITA DE ADULTERAÇÃO.","Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,I, Código Penal;Art.296,§1°,I, Código Penal;Art.296,§1°,I, Código Penal;Art.296,§1°,I, Código Penal;Art.296,§1°,I, Código Penal"
"TO","Araguaína",25/05/2016,"DOIS PAPAGAIOS DE COR VERDE, AMARELO E AZUL EM IDADE ADULTA.;DOIS PAPAGAIOS DE COR VERDE, AMARELO E AZUL EM IDADE ADULTA.;DOIS PAPAGAIOS DE COR VERDE, AMARELO E AZUL EM IDADE ADULTA.;DOIS PAPAGAIOS DE COR VERDE, AMARELO E AZUL EM IDADE ADULTA.","Art.12, Lei 10826/2003;Art.13, Lei 10826/2003;Art.33, Lei 11343/2006;Art.35, Lei 11343/2006"
"PR","Guaíra",04/06/2016,"PÁSSAROS DA ESPÉCIE ""CARDEAL"";PÁSSAROS DA ESPÉCIE ""CARDEAL"";PÁSSAROS DA ESPÉCIE ""CARDEAL""","Art.29,§1°,III, Lei 9605/1998;Art.31, Lei 9605/1998;Art.32, Lei 9605/1998"
"RS","Porto Alegre",08/06/2016,"1 TRINCA FERRO E 5 CANÁRIOS DA TERRA;1 TRINCA FERRO E 5 CANÁRIOS DA TERRA","Art.12, Lei 10826/2003;Art.29,§1°,III, Lei 9605/1998"
"SP","São Paulo",13/06/2016,"04(QUATRO) TEIU; 07(SETE) IGUANAS; 01(UMA) COBRA; 03(TRÊS) JABUTI PIRANGA; 04(QUATRO) LAGARTOS; 03(TRÊS) LAGARTO-MONITOR; 01(UM) LAGARTO.;04(QUATRO) TEIU; 07(SETE) IGUANAS; 01(UMA) COBRA; 03(TRÊS) JABUTI PIRANGA; 04(QUATRO) LAGARTOS; 03(TRÊS) LAGARTO-MONITOR; 01(UM) LAGARTO.;04(QUATRO) TEIU; 07(SETE) IGUANAS; 01(UMA) COBRA; 03(TRÊS) JABUTI PIRANGA; 04(QUATRO) LAGARTOS; 03(TRÊS) LAGARTO-MONITOR; 01(UM) LAGARTO.;ARARA (FILHOTE), (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;ARARA (FILHOTE), (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;ARARA (FILHOTE), (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;CASCO DE TARTARUGA, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;CASCO DE TARTARUGA, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;CASCO DE TARTARUGA, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;COBRA, CORALLUS HORTULANUS;COBRA, CORALLUS HORTULANUS;COBRA, CORALLUS HORTULANUS;COBRA, CORALLUS HORTULANUS;CRÂNIO SUPOSTAMENTE DE ANIMAIS SILVESTRES, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;CRÂNIO SUPOSTAMENTE DE ANIMAIS SILVESTRES, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;CRÂNIO SUPOSTAMENTE DE ANIMAIS SILVESTRES, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;ESCORPIÃO ""IMPERIAL"", (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;ESCORPIÃO ""IMPERIAL"", (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;ESCORPIÃO ""IMPERIAL"", (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;ESCORPIÃO ""MARROM"", (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;ESCORPIÃO ""MARROM"", (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;ESCORPIÃO ""MARROM"", (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;FRAGMENTOS DE OSSOS DIVERSOS, SUPOSTAMENTE DE ANIMAIS SILVESTRES,(LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;FRAGMENTOS DE OSSOS DIVERSOS, SUPOSTAMENTE DE ANIMAIS SILVESTRES,(LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;FRAGMENTOS DE OSSOS DIVERSOS, SUPOSTAMENTE DE ANIMAIS SILVESTRES,(LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;IGUANA - MORTA, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;IGUANA - MORTA, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;IGUANA - MORTA, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;IGUANA, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;IGUANA, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;IGUANA, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;JABOTI,(LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;JABOTI,(LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;JABOTI,(LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;JABUTI, MORTO, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;JABUTI, MORTO, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;JABUTI, MORTO, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;JACARÉ, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;JACARÉ, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;JACARÉ, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;JIBÓIA, BOA CONSTRICTOR;JIBÓIA, BOA CONSTRICTOR;JIBÓIA, BOA CONSTRICTOR;JIBÓIA, BOA CONSTRICTOR;MACACO PREGO, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FRENTE);;MACACO PREGO, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FRENTE);;MACACO PREGO, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FRENTE);;SACO CONTENDO DIVERSOS RATOS CONGELADOS, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;SACO CONTENDO DIVERSOS RATOS CONGELADOS, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;SACO CONTENDO DIVERSOS RATOS CONGELADOS, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;SAGUI - MORTOS, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;SAGUI - MORTOS, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;SAGUI - MORTOS, (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;SERPENTE ""CORN SNAKE"", (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;SERPENTE ""CORN SNAKE"", (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;SERPENTE ""CORN SNAKE"", (LOCALIZADO NA RESIDENCIA DE Nº 263 - FUNDOS);;TARÂNTULA , THERAPHOSA BLONDI;TARÂNTULA , THERAPHOSA BLONDI;TARÂNTULA , THERAPHOSA BLONDI;TARÂNTULA , THERAPHOSA BLONDI","Art.180,§1 E 2°, Código Penal;Art.180,§1 E 2°, Código Penal;Art.180,§1 E 2°, Código Penal;Art.180,§1°, Código Penal;Art.180,§1°, Código Penal;Art.180,§1°, Código Penal;Art.180,§1°, Código Penal;Art.180,§1°, Código Penal;Art.180,§1°, Código Penal;Art.180,§1°, Código Penal;Art.180,§1°, Código Penal;Art.180,§1°, Código Penal;Art.180,§1°, Código Penal;Art.180,§1°, Código Penal;Art.180,§1°, Código Penal;Art.180,§1°, Código Penal;Art.180,§1°, Código Penal;Art.180,§1°, Código Penal;Art.180,§1°, Código Penal;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.31, Lei 9605/1998;Art.31, Lei 9605/1998;Art.31, Lei 9605/1998;Art.32, Lei 9605/1998;Art.32, Lei 9605/1998;Art.32, Lei 9605/1998"
"SP","São José do Rio Preto",20/06/2016,"- 01 (UM) ""AZULÃO VERDADEIRO"" (PASSERINA BRISSONII). A INFORMAÇÃO FOI EXTRAÍDA DO AUTO DE APREENSÃO VINCULADO AO BOPAMB 160.168.;- 01 (UM) ""AZULÃO VERDADEIRO"" (PASSERINA BRISSONII). A INFORMAÇÃO FOI EXTRAÍDA DO AUTO DE APREENSÃO VINCULADO AO BOPAMB 160.168.;- 01 (UM) ""PINTASSILGO"" (CARDUELIS MAGELLANICUS). A INFORMAÇÃO FOI EXTRAÍDA DO AUTO DE APREENSÃO VINCULADO AO BOPAMB 160.168.;- 01 (UM) ""PINTASSILGO"" (CARDUELIS MAGELLANICUS). A INFORMAÇÃO FOI EXTRAÍDA DO AUTO DE APREENSÃO VINCULADO AO BOPAMB 160.168.;- 02 (DOIS ) ""COLAIRO DO BREJO"" (SPOROPHILA COLLARIS). A INFORMAÇÃO FOI EXTRAÍDA DO AUTO DE APREENSÃO VINCULADO AO BOPAMB 160.168.;- 02 (DOIS ) ""COLAIRO DO BREJO"" (SPOROPHILA COLLARIS). A INFORMAÇÃO FOI EXTRAÍDA DO AUTO DE APREENSÃO VINCULADO AO BOPAMB 160.168.;- 02 (DOIS) ""INHAPIM"" (ICTERUS CAYANENSIS). A INFORMAÇÃO FOI EXTRAÍDA DO AUTO DE APREENSÃO VINCULADO AO BOPAMB 160.168.;- 02 (DOIS) ""INHAPIM"" (ICTERUS CAYANENSIS). A INFORMAÇÃO FOI EXTRAÍDA DO AUTO DE APREENSÃO VINCULADO AO BOPAMB 160.168.","Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal"
"SP","Presidente Prudente",28/06/2016,"UM PÁSSARO PRETO COM ANILHA IBAMA OA4.0108877;UM PÁSSARO PRETO COM ANILHA IBAMA OA4.0108877;UM PÁSSARO PRETO COM ANILHA SISPASS 4.0 SPA 010031;UM PÁSSARO PRETO COM ANILHA SISPASS 4.0 SPA 010031;UM PÁSSARO TRINCA FERRO COM UMA ANILHA: SISPASS35SPA 070559;UM PÁSSARO TRINCA FERRO COM UMA ANILHA: SISPASS35SPA 070559","Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,I, Código Penal;Art.296,§1°,I, Código Penal;Art.296,§1°,I, Código Penal"
"SP","São José dos Campos",10/07/2016,"ANIMAL 01  TRINCA-FERRO SEM ANILHA  SALTATOR SIMILIS (SEXO NÃO DEFINIDO)_x000D_
_x000D_
;ANIMAL 01  TRINCA-FERRO SEM ANILHA  SALTATOR SIMILIS (SEXO NÃO DEFINIDO)_x000D_
_x000D_
;ANIMAL 02- COLEIRINHO FÊMEA SEM ANILHA  SPOROPHILA CAERULESCENS CF_x000D_
_x000D_
;ANIMAL 02- COLEIRINHO FÊMEA SEM ANILHA  SPOROPHILA CAERULESCENS CF_x000D_
_x000D_
;ANIMAL 03  TRINCA-FERRO ANILHA SISPASS 3,5 SPA 086974  SALTATOR SIMILIS (SEXO NÃO DEFINIDO)_x000D_
_x000D_
;ANIMAL 03  TRINCA-FERRO ANILHA SISPASS 3,5 SPA 086974  SALTATOR SIMILIS (SEXO NÃO DEFINIDO)_x000D_
_x000D_
;ANIMAL 04  TRINCA-FERRO ANILHA SISPASS 3,5 SPA 102005  SALTATOR SIMILIS (SEXO NÃO DEFINIDO)_x000D_
_x000D_
;ANIMAL 04  TRINCA-FERRO ANILHA SISPASS 3,5 SPA 102005  SALTATOR SIMILIS (SEXO NÃO DEFINIDO)_x000D_
_x000D_
;ANIMAL 05  SABIÁ-DA-MATA, TURDUS FUMIGATUS CF, ANILHA IBAMA OA 4,0 120500 (SEXO NÃO DEFINIDO)_x000D_
_x000D_
;ANIMAL 05  SABIÁ-DA-MATA, TURDUS FUMIGATUS CF, ANILHA IBAMA OA 4,0 120500 (SEXO NÃO DEFINIDO)_x000D_
_x000D_
;ANIMAL 06  SABIÁ-BARRANCO, TURDUS LEUCOMELAS, ANILHA IBAMA OA 4,0 093239 (SEXO NÃO DEFINIDO)_x000D_
_x000D_
;ANIMAL 06  SABIÁ-BARRANCO, TURDUS LEUCOMELAS, ANILHA IBAMA OA 4,0 093239 (SEXO NÃO DEFINIDO)_x000D_
_x000D_
;ANIMAL 07  CURIÓ (MACHO), SPOROPHILA ANGOLENSIS, ANILHAS IBAMA OA 2.6 068517 E SISPASS 2,6 SPA 034919;_x000D_
_x000D_
;ANIMAL 07  CURIÓ (MACHO), SPOROPHILA ANGOLENSIS, ANILHAS IBAMA OA 2.6 068517 E SISPASS 2,6 SPA 034919;_x000D_
_x000D_
;ANIMAL 08  CURIÓ (FÊMEA), SPOROPHILA ANGOLENSIS, ANILHA SISPASS SPA 2,6 058899;_x000D_
_x000D_
;ANIMAL 08  CURIÓ (FÊMEA), SPOROPHILA ANGOLENSIS, ANILHA SISPASS SPA 2,6 058899;_x000D_
_x000D_
;ANIMAL 09  CURIÓ (MACHO), SPOROPHILA ANGOLENSIS, ANILHA 1 BCSO 414 2,5 2001;_x000D_
_x000D_
;ANIMAL 09  CURIÓ (MACHO), SPOROPHILA ANGOLENSIS, ANILHA 1 BCSO 414 2,5 2001;_x000D_
_x000D_
;ANIMAL 10  CURIÓ (FÊMEA), SPOROPHILA ANGOLENSIS, ANILHA IBAMA OA 2,6 584636._x000D_
_x000D_
;ANIMAL 10  CURIÓ (FÊMEA), SPOROPHILA ANGOLENSIS, ANILHA IBAMA OA 2,6 584636._x000D_
_x000D_
","Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.296, Código Penal;Art.296, Código Penal;Art.296, Código Penal;Art.296, Código Penal;Art.296, Código Penal;Art.296, Código Penal;Art.296, Código Penal;Art.296, Código Penal;Art.296, Código Penal;Art.296, Código Penal"
"SP","Cruzeiro",11/07/2016,"UM PÁSSARO SILVESTRE, APARENTANDO SER DA ESPÉCIME TRINCA FERRO, DENTRO DE UMA GAIOLA DE MADEIRA","Art.29, Lei 9605/1998"
"SP","São José do Rio Preto",13/07/2016,"01 CANÁRIO DA TERRA, ANILHA IBAMA 0405 2,8 121538;01 CANÁRIO DA TERRA, ANILHA IBAMA 0405 2,8 121538;01 CANÁRIO DA TERRA, ANILHA IBAMA 0405 2,8 121541;01 CANÁRIO DA TERRA, ANILHA IBAMA 0405 2,8 121541;01 CARACHUE COLEIRA COM A RESPECTIVA ANILHA IBAMA OA 4,0 117724;01 CARACHUE COLEIRA COM A RESPECTIVA ANILHA IBAMA OA 4,0 117724;01 COLEIRO DO BREJO, SEM ANILHA DE IDENTIFICAÇÃO;01 COLEIRO DO BREJO, SEM ANILHA DE IDENTIFICAÇÃO;01 CURIÓ, ANILHA IBAMA OA 2,6 448611;01 CURIÓ, ANILHA IBAMA OA 2,6 448611;01 PATATIVA VERDADEIRA COM A RESPECTIVA ANILHA IBAMA 0102 16 PE 2,4 0302;01 PATATIVA VERDADEIRA COM A RESPECTIVA ANILHA IBAMA 0102 16 PE 2,4 0302;01 SABIÁ LARANJEIRA, ANILHA IBAMA OA 4,0 123905;01 SABIÁ LARANJEIRA, ANILHA IBAMA OA 4,0 123905;01 SABIÁ POCA, ANILHA IBAMA 0203 PB 4,0 0047;01 SABIÁ POCA, ANILHA IBAMA 0203 PB 4,0 0047;01 SANHAÇO DE COQUEIRO COM A RESPECTIVA ANILHA IBAMA 0304 2,8 077191;01 SANHAÇO DE COQUEIRO COM A RESPECTIVA ANILHA IBAMA 0304 2,8 077191;02 PASSÁROS DO TIPO TRINCA-FERRO;02 PASSÁROS DO TIPO TRINCA-FERRO;02 SANHAÇOS DE COLEIRA COM AS RESPECTIVAS ANILHAS IBAMA OA 3,0 147566 E IBAMA OA 3,0 159238;02 SANHAÇOS DE COLEIRA COM AS RESPECTIVAS ANILHAS IBAMA OA 3,0 147566 E IBAMA OA 3,0 159238;03 PÁSSAROS, SENDO 01 SABIÁ LARANJEIRA E 02 TRI,CA FERRO.;03 TEMPERA-VIOLA COM AS RESPECTIVAS ANILHAS, IBAMA 0203 TO 3,5-0219, IBAMA OA 3,5 481315 E IBAMA OA 3,5 573488;03 TEMPERA-VIOLA COM AS RESPECTIVAS ANILHAS, IBAMA 0203 TO 3,5-0219, IBAMA OA 3,5 481315 E IBAMA OA 3,5 573488;06 SABIÁS LARANJEIRA COM AS RESPECTIVAS ANILHAS CBV 26 796064, CBV 26797006, IBAMA OA 4,0 040887, IBAMA OA 4,0 087689, IBAMA OA 4,0 143495 E IBAMA OA 4,0 116583;06 SABIÁS LARANJEIRA COM AS RESPECTIVAS ANILHAS CBV 26 796064, CBV 26797006, IBAMA OA 4,0 040887, IBAMA OA 4,0 087689, IBAMA OA 4,0 143495 E IBAMA OA 4,0 116583;10 PÁSSAROS, SENDO 02 DO TIPO PIMENTÃO, 01 AZULÃO VERDADEIRO, 01 TRINCA FERRO VERDADEIRO, 01 IRAUNA GRANDE, 02 CANÁRIO DA TERRA, 01 BREJAL, 01 CARACHUE COLEIRA E 01 TICO-TICO.;10 PÁSSAROS, SENDO 02 DO TIPO PIMENTÃO, 01 AZULÃO VERDADEIRO, 01 TRINCA FERRO VERDADEIRO, 01 IRAUNA GRANDE, 02 CANÁRIO DA TERRA, 01 BREJAL, 01 CARACHUE COLEIRA E 01 TICO-TICO.;15 PÁSSAROS, SENDO 01 DO TIPO SOFRE, 02 SABIÁS-DA-PRAIA, 01 ARREBITA-RABO, 02 TEMPERAS-VIOLA, 01 TRINCA-FERRO-VERDADEIRO, 01 IRAUNA-GRANDE, 01 PAPA-CAPIM, 01 PICHOCHO, 01 BIGORINHO, 01 CARACHUE-COLEIRA, 01 TICO-TICO E 02 CANÁRIOS-TERRA.;15 PÁSSAROS, SENDO 01 DO TIPO SOFRE, 02 SABIÁS-DA-PRAIA, 01 ARREBITA-RABO, 02 TEMPERAS-VIOLA, 01 TRINCA-FERRO-VERDADEIRO, 01 IRAUNA-GRANDE, 01 PAPA-CAPIM, 01 PICHOCHO, 01 BIGORINHO, 01 CARACHUE-COLEIRA, 01 TICO-TICO E 02 CANÁRIOS-TERRA.","Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal"
"SP","São José do Rio Preto",14/07/2016,"01 BIGODINHO (SPOROPHILA LINEOLA);01 BIGODINHO (SPOROPHILA LINEOLA);01 PERIQUITÃO MARACANÃ (PSITTACARA LEUCOPHALMA);01 PERIQUITÃO MARACANÃ (PSITTACARA LEUCOPHALMA);03 COLEIRINHOS PAPA CAPIM;03 COLEIRINHOS PAPA CAPIM","Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal"
"SP","São Sebastião",31/07/2016,"- 22 (VINTE E DOIS) AVES SILVESTRES VULGARMENTE CONHECIDAS COMO TRINCA-FERRO, SENDO 21 COM ANILHAS E 01 SEM ANILHA;_x000D_
- 29 (VINTE E NOVE) AVES SILVESTRES VULGARMENTE CONHECIDAS COMO COLEIRO, SENDO 24 COM ANILHAS E 05 SEM ANILHAS;;- 22 (VINTE E DOIS) AVES SILVESTRES VULGARMENTE CONHECIDAS COMO TRINCA-FERRO, SENDO 21 COM ANILHAS E 01 SEM ANILHA;_x000D_
- 29 (VINTE E NOVE) AVES SILVESTRES VULGARMENTE CONHECIDAS COMO COLEIRO, SENDO 24 COM ANILHAS E 05 SEM ANILHAS;","Art.29, Código Penal;Art.29, Lei 9605/1998"
"PR","Maringá",01/08/2016,"02 (DOIS) PÁSSAROS DA FAUNA SILVESTRE, CONHECIDOS POPULARMENTE COMO PÁSSARO PRETO, ANILHAS SOB NºS IBAMA OA4.0 0742606 E IBAMA OA4.0 090774.","Art.296,§1°,I, Código Penal"
"SP","São José do Rio Preto",19/08/2016,"- 02 (DOIS) PAP-CAPIM, ""SPOROPHILACAERULESCENS"";;- 02 (DOIS) PAP-CAPIM, ""SPOROPHILACAERULESCENS"";;- 09 (NOVE) CANÁRIOS DA TERRA, ""SICALIS FLAVEOLA BRASILIENSIS"";;- 09 (NOVE) CANÁRIOS DA TERRA, ""SICALIS FLAVEOLA BRASILIENSIS"";","Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal"
"PR","Maringá",23/08/2016,"01) 02 (DOIS) PÁSSAROS PAPAGAIOS VERDADEIRO, ESTANDO UM DELES COM INDICATIVO DE MAUS TRATOS (ASA CORTADA);_x000D_
_x000D_
02) 01 (UM) PÁSSARO DENOMINADO PÁSSARO PRETO SEM ANILHA_x000D_
_x000D_
03) 01 (UM) PÁSSARO DENOMINADO PÁSSARO PRETO ANILHADO (ANILHA IBAMA OA 4.0 075399) COM ANILHA ADULTERADA (SEGUNDO CONSTA NO BO Nº 2016870471)_x000D_
_x000D_
04) 01 (UM) PÁSSARO CURIÓ ANILHADO (ANILHA IBAMA OA 2.6 516197)_x000D_
_x000D_
05) 02 (DUAS) PÁSSAROS DENOMINADOS COLERINHAS PAPA-CAPIM SEM ANILHA;_x000D_
_x000D_
06) 01 (UM) PÁSSARO DENOMINADO AZULÃO SEM ANILHA_x000D_
_x000D_
;01) 02 (DOIS) PÁSSAROS PAPAGAIOS VERDADEIRO, ESTANDO UM DELES COM INDICATIVO DE MAUS TRATOS (ASA CORTADA);_x000D_
_x000D_
02) 01 (UM) PÁSSARO DENOMINADO PÁSSARO PRETO SEM ANILHA_x000D_
_x000D_
03) 01 (UM) PÁSSARO DENOMINADO PÁSSARO PRETO ANILHADO (ANILHA IBAMA OA 4.0 075399) COM ANILHA ADULTERADA (SEGUNDO CONSTA NO BO Nº 2016870471)_x000D_
_x000D_
04) 01 (UM) PÁSSARO CURIÓ ANILHADO (ANILHA IBAMA OA 2.6 516197)_x000D_
_x000D_
05) 02 (DUAS) PÁSSAROS DENOMINADOS COLERINHAS PAPA-CAPIM SEM ANILHA;_x000D_
_x000D_
06) 01 (UM) PÁSSARO DENOMINADO AZULÃO SEM ANILHA_x000D_
_x000D_
;01) 02 (DOIS) PÁSSAROS PAPAGAIOS VERDADEIRO, ESTANDO UM DELES COM INDICATIVO DE MAUS TRATOS (ASA CORTADA);_x000D_
_x000D_
02) 01 (UM) PÁSSARO DENOMINADO PÁSSARO PRETO SEM ANILHA_x000D_
_x000D_
03) 01 (UM) PÁSSARO DENOMINADO PÁSSARO PRETO ANILHADO (ANILHA IBAMA OA 4.0 075399) COM ANILHA ADULTERADA (SEGUNDO CONSTA NO BO Nº 2016870471)_x000D_
_x000D_
04) 01 (UM) PÁSSARO CURIÓ ANILHADO (ANILHA IBAMA OA 2.6 516197)_x000D_
_x000D_
05) 02 (DUAS) PÁSSAROS DENOMINADOS COLERINHAS PAPA-CAPIM SEM ANILHA;_x000D_
_x000D_
06) 01 (UM) PÁSSARO DENOMINADO AZULÃO SEM ANILHA_x000D_
_x000D_
","Art.29,§1°, Lei 9605/1998;Art.296, Código Penal;Art.32, Lei 9605/1998"
